,title,writer,awards,year,plot,poster
0,Portrait of a Lady on Fire,Céline Sciamma,Nominated for 1 Golden Globe. Another 44 wins & 124 nominations.,2019,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",https://m.media-amazon.com/images/M/MV5BNjgwNjkwOWYtYmM3My00NzI1LTk5OGItYWY0OTMyZTY4OTg2XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg
1,1917,"Sam Mendes, Krysty Wilson-Cairns",Won 3 Oscars. Another 111 wins & 171 nominations.,2019,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",https://m.media-amazon.com/images/M/MV5BOTdmNTFjNDEtNzg0My00ZjkxLTg1ZDAtZTdkMDc2ZmFiNWQ1XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_SX300.jpg
2,The Invisible Man,"Leigh Whannell (screenplay), Leigh Whannell (screen story)",5 wins & 12 nominations.,2020,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",https://m.media-amazon.com/images/M/MV5BZjFhM2I4ZDYtZWMwNC00NTYzLWE3MDgtNjgxYmM3ZWMxYmVmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
3,Never Rarely Sometimes Always,Eliza Hittman,6 wins & 16 nominations.,2020,A pair of teenage girls in rural Pennsylvania travel to New York City to seek out medical help after an unintended pregnancy.,https://m.media-amazon.com/images/M/MV5BOGUzZjZhMmUtZDE4Yi00NTI0LWJlMDUtNTU1OWI2ZWM1MzBmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
4,Hamilton,"Lin-Manuel Miranda (book), Ron Chernow (inspired by the book Alexander Hamilton by)",1 win & 2 nominations.,2020,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",https://m.media-amazon.com/images/M/MV5BNjViNWRjYWEtZTI0NC00N2E3LTk0NGQtMjY4NTM3OGNkZjY0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_SX300.jpg
5,Da 5 Bloods,"Danny Bilson, Paul De Meo, Kevin Willmott, Spike Lee",4 wins & 3 nominations.,2020,Four African American vets battle the forces of man and nature when they return to Vietnam seeking the remains of their fallen squad leader and the gold fortune he helped them hide.,https://m.media-amazon.com/images/M/MV5BNjE4ODEwNzktYjg5Yi00N2YxLWExMmEtMmQyZTBiYWI4MGQwXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg
6,Sound of Metal,"Darius Marder (screenplay by), Derek Cianfrance (story by), Darius Marder, Abraham Marder",5 wins & 7 nominations.,2019,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,https://m.media-amazon.com/images/M/MV5BNjcyYjg0M2ItMzMyZS00NmM1LTlhZDMtN2MxN2RhNWY4YTkwXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg
7,Nomadland,"Jessica Bruder (book), Chloé Zhao (screenplay by)",19 wins & 12 nominations.,2020,"After losing everything in the Great Recession, an old woman embarks on a journey through the American West, living as a van-dwelling modern-day nomad.",https://m.media-amazon.com/images/M/MV5BOTljNjQ3NmMtNmJkOS00OWEyLWJkZWUtYzA2YWIxODQ5NWUxXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg
8,Miss Juneteenth,Channing Godfrey Peoples,2 wins & 4 nominations.,2020,"A former beauty queen and single mom prepares her rebellious teenage daughter for the ""Miss Juneteenth"" pageant.",https://m.media-amazon.com/images/M/MV5BNTA5ZWU4ZTYtMGY0ZC00M2FkLTlmODktZDJmNGJjZjdhYzEwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
9,Onward,"Dan Scanlon (original story by), Keith Bunin (original story by), Jason Headley (original story by), Dan Scanlon (screenplay by), Jason Headley (screenplay by), Keith Bunin (screenplay by)",2 wins & 4 nominations.,2020,Two elven brothers embark on a quest to bring their father back for one day.,https://m.media-amazon.com/images/M/MV5BMTZlYzk3NzQtMmViYS00YWZmLTk5ZTEtNWE0NGVjM2MzYWU1XkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg
