,title,director,actors,writer,rated,year,language,country,genre,awards,plot,poster
0,Portrait of a Lady on Fire,Céline Sciamma,"Noémie Merlant, Adèle Haenel, Luàna Bajrami, Valeria Golino",Céline Sciamma,R,2019,"French, Italian",France,"Drama, Romance",Nominated for 1 Golden Globe. Another 44 wins & 124 nominations.,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",https://m.media-amazon.com/images/M/MV5BNjgwNjkwOWYtYmM3My00NzI1LTk5OGItYWY0OTMyZTY4OTg2XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg
1,1917,Sam Mendes,"Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth","Sam Mendes, Krysty Wilson-Cairns",R,2019,"English, French, German","USA, UK, India, Spain, Canada, China","Drama, War",Won 3 Oscars. Another 111 wins & 171 nominations.,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",https://m.media-amazon.com/images/M/MV5BOTdmNTFjNDEtNzg0My00ZjkxLTg1ZDAtZTdkMDc2ZmFiNWQ1XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_SX300.jpg
2,The Invisible Man,Leigh Whannell,"Elisabeth Moss, Oliver Jackson-Cohen, Harriet Dyer, Aldis Hodge","Leigh Whannell (screenplay), Leigh Whannell (screen story)",R,2020,English,"Canada, Australia, USA","Drama, Horror, Mystery, Sci-Fi, Thriller",5 wins & 12 nominations.,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",https://m.media-amazon.com/images/M/MV5BZjFhM2I4ZDYtZWMwNC00NTYzLWE3MDgtNjgxYmM3ZWMxYmVmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
3,Never Rarely Sometimes Always,Eliza Hittman,"Eliazar Jimenez, David Buneta, Christian Clements, Sam Dugger",Eliza Hittman,PG-13,2020,English,"USA, UK",Drama,6 wins & 16 nominations.,A pair of teenage girls in rural Pennsylvania travel to New York City to seek out medical help after an unintended pregnancy.,https://m.media-amazon.com/images/M/MV5BOGUzZjZhMmUtZDE4Yi00NTI0LWJlMDUtNTU1OWI2ZWM1MzBmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
4,Hamilton,Thomas Kail,"Daveed Diggs, Renée Elise Goldsberry, Jonathan Groff, Chris Jackson","Lin-Manuel Miranda (book), Ron Chernow (inspired by the book Alexander Hamilton by)",PG-13,2020,English,USA,"Biography, Drama, History, Musical",1 win & 2 nominations.,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",https://m.media-amazon.com/images/M/MV5BNjViNWRjYWEtZTI0NC00N2E3LTk0NGQtMjY4NTM3OGNkZjY0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_SX300.jpg
5,Da 5 Bloods,Spike Lee,"Delroy Lindo, Jonathan Majors, Clarke Peters, Norm Lewis","Danny Bilson, Paul De Meo, Kevin Willmott, Spike Lee",R,2020,"English, Finnish, French, Vietnamese",USA,"Adventure, Drama, War",4 wins & 3 nominations.,Four African American vets battle the forces of man and nature when they return to Vietnam seeking the remains of their fallen squad leader and the gold fortune he helped them hide.,https://m.media-amazon.com/images/M/MV5BNjE4ODEwNzktYjg5Yi00N2YxLWExMmEtMmQyZTBiYWI4MGQwXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg
6,Sound of Metal,Darius Marder,"Riz Ahmed, Olivia Cooke, Paul Raci, Mathieu Amalric","Darius Marder (screenplay by), Derek Cianfrance (story by), Darius Marder, Abraham Marder",R,2019,"English, American Sign Language, French","Belgium, USA","Drama, Music",5 wins & 7 nominations.,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,https://m.media-amazon.com/images/M/MV5BNjcyYjg0M2ItMzMyZS00NmM1LTlhZDMtN2MxN2RhNWY4YTkwXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg
7,Nomadland,Chloé Zhao,"Frances McDormand, Gay DeForest, Patricia Grier, Linda May","Jessica Bruder (book), Chloé Zhao (screenplay by)",R,2020,English,"USA, Germany",Drama,19 wins & 12 nominations.,"After losing everything in the Great Recession, an old woman embarks on a journey through the American West, living as a van-dwelling modern-day nomad.",https://m.media-amazon.com/images/M/MV5BOTljNjQ3NmMtNmJkOS00OWEyLWJkZWUtYzA2YWIxODQ5NWUxXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg
8,Miss Juneteenth,Channing Godfrey Peoples,"Nicole Beharie, Kendrick Sampson, Alexis Chikaeze, Lori Hayes",Channing Godfrey Peoples,Unrated,2020,English,USA,Drama,2 wins & 4 nominations.,"A former beauty queen and single mom prepares her rebellious teenage daughter for the ""Miss Juneteenth"" pageant.",https://m.media-amazon.com/images/M/MV5BNTA5ZWU4ZTYtMGY0ZC00M2FkLTlmODktZDJmNGJjZjdhYzEwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
9,Onward,Dan Scanlon,"Tom Holland, Chris Pratt, Julia Louis-Dreyfus, Octavia Spencer","Dan Scanlon (original story by), Keith Bunin (original story by), Jason Headley (original story by), Dan Scanlon (screenplay by), Jason Headley (screenplay by), Keith Bunin (screenplay by)",PG,2020,English,USA,"Animation, Adventure, Comedy, Family, Fantasy",2 wins & 4 nominations.,Two elven brothers embark on a quest to bring their father back for one day.,https://m.media-amazon.com/images/M/MV5BMTZlYzk3NzQtMmViYS00YWZmLTk5ZTEtNWE0NGVjM2MzYWU1XkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg
10,His House,Remi Weekes,"Sope Dirisu, Wunmi Mosaku, Malaika Wakoli-Abigaba, Matt Smith","Remi Weekes (screenplay), Felicity Evans (story), Toby Venables (story)",TV-14,2020,"English, Dinka",UK,"Drama, Horror, Thriller",1 win & 1 nomination.,"A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface.",https://m.media-amazon.com/images/M/MV5BODY2NjQzYzYtYTgyMy00M2MxLTgyMWQtZTU1NWZjZWU4ZDc3XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg
11,Wolfwalkers,"Tomm Moore, Ross Stewart","Honor Kneafsey, Eva Whittaker, Sean Bean, Simon McBurney","Jericca Cleland (story and script consultant), Will Collins (screenplay), Tomm Moore (story), Ross Stewart (story)",PG,2020,English,"Ireland, Luxembourg, France, USA, UK","Animation, Adventure, Family, Fantasy",1 win & 4 nominations.,A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.,https://m.media-amazon.com/images/M/MV5BNTA4MWQ4NGUtOGQ0MS00M2QyLWE5MDItZWM2YzA0ZDgxZTA2XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg
12,,,,,,,,,,,,
13,Ma Rainey's Black Bottom,George C. Wolfe,"Viola Davis, Chadwick Boseman, Colman Domingo, Glynn Turman","Ruben Santiago-Hudson (screenplay by), August Wilson (based on the play written by)",R,2020,English,USA,"Drama, Music",2 wins & 11 nominations.,"Chicago, 1927. A recording session. Tensions rise between Ma Rainey, her ambitious horn player and the white management determined to control the uncontrollable ""Mother of the Blues"". Based on Pulitzer Prize winner August Wilson's play.",https://m.media-amazon.com/images/M/MV5BYWFmZmVjMjUtMzc1ZS00MjEyLThmNGUtOWIwZDkxMTU3OGE5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
14,The Trial of the Chicago 7,Aaron Sorkin,"Eddie Redmayne, Alex Sharp, Sacha Baron Cohen, Jeremy Strong",Aaron Sorkin,R,2020,English,"USA, UK, India","Drama, History, Thriller",3 wins & 1 nomination.,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",https://m.media-amazon.com/images/M/MV5BYjYzOGE1MjUtODgyMy00ZDAxLTljYTgtNzk0Njg2YWQwMTZhXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg
15,Palm Springs,Max Barbakow,"Andy Samberg, Cristin Milioti, J.K. Simmons, Peter Gallagher",Andy Siara (screenplay),R,2020,English,"USA, Hong Kong","Comedy, Fantasy, Mystery, Romance",6 nominations.,"When carefree Nyles and reluctant maid of honor Sarah have a chance encounter at a Palm Springs wedding, things get complicated as they are unable to escape the venue, themselves, or each other.",https://m.media-amazon.com/images/M/MV5BYjk0MTgzMmQtZmY2My00NmE5LWExNGUtYjZkNTA3ZDkyMTJiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
16,Time,Ki-duk Kim,"Jung-woo Ha, Ji-Yeon Park, Jun-yeong Jang, Gyu-Woon Jung",Ki-duk Kim,Not Rated,2006,Korean,"South Korea, Japan","Drama, Mystery, Romance",3 wins & 1 nomination.,"To save her relationship, a woman puts herself through extensive plastic surgery.",https://m.media-amazon.com/images/M/MV5BMjA1NjU5OTcxNl5BMl5BanBnXkFtZTcwNTMyNjYzMQ@@._V1_SX300.jpg
17,The Personal History of David Copperfield,Armando Iannucci,"Fisayo Akinade, Nikki Amuka-Bird, Albie Atkinson, Aneurin Barnard","Simon Blackwell (screenplay by), Charles Dickens (novel), Armando Iannucci (screenplay)",PG,2019,English,"UK, USA","Comedy, Drama",Nominated for 1 BAFTA Film Award. Another 7 wins & 7 nominations.,A modern take on Charles Dickens's classic tale of a young orphan who is able to triumph over many obstacles.,https://m.media-amazon.com/images/M/MV5BMjdhZmUxZTMtOWRmZS00ZmY0LTgxMzMtZjRjZDg2MTExY2IyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
18,Host,Rob Savage,"Haley Bishop, Jemma Moore, Emma Louise Webb, Radina Drandova","Gemma Hurley, Rob Savage, Jed Shepherd",Not Rated,2020,English,UK,"Horror, Mystery",1 win.,"Six friends hire a medium to hold a seance via Zoom during lockdown, but they get far more than they bargained for as things quickly go wrong.",https://m.media-amazon.com/images/M/MV5BOTY1YTk5ZTQtZTUyZi00MTNjLWFiZmMtZTRkZGQwODFhZDYxXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg
19,Blow the Man Down,"Bridget Savage Cole, Danielle Krudy","David Coffin, David Pridemore, Adam Wolf Mayerson, Mark S. Cartier","Bridget Savage Cole, Danielle Krudy",R,2019,English,USA,"Comedy, Drama, Mystery",1 win & 7 nominations.,"Mary Beth and Priscilla Connolly attempt to cover up a gruesome run-in with a dangerous man. To conceal their crime, the sisters must go deep into the criminal underbelly of their hometown, uncovering the town's darkest secrets.",https://m.media-amazon.com/images/M/MV5BYmM3MDlkNDItN2RhNy00Mjc2LWJmNjktODk4NGE0NmRmMTFkXkEyXkFqcGdeQXVyODE0OTU5Nzg@._V1_SX300.jpg
20,Dick Johnson Is Dead,Kirsten Johnson,"Michael Hilow, Ana Hoffman, Dick Johnson, Kirsten Johnson","Nels Bangerter, Kirsten Johnson",PG-13,2020,English,USA,"Documentary, Drama",2 wins & 6 nominations.,A daughter helps her father prepare for the end of his life.,https://m.media-amazon.com/images/M/MV5BYzY5YjcxMzYtZDgxMS00ZjUyLWFmYjItYTNmZTU3ODAwMzBkXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg
21,Collective,Alexander Nanau,"Razvan Lutac, Mirela Neag, Catalin Tolontan, Tedy Ursuleanu","Alexander Nanau, Antoaneta Opris",N/A,2019,"Romanian, English","Romania, Luxembourg",Documentary,8 wins & 8 nominations.,Director Alexander Nanau follows a crack team of investigators at the Romanian newspaper Gazeta Sporturilor as they try to uncover a vast health-care fraud that enriched moguls and politicians and led to the deaths of innocent citizens.,https://m.media-amazon.com/images/M/MV5BOTQ1ZmU0ZmMtNTZlOC00MmI5LTg5MmQtZDJjYmZlOWI1YjhkXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg
22,The Vast of Night,Andrew Patterson,"Sierra McCormick, Jake Horowitz, Gail Cronauer, Bruce Davis","Andrew Patterson (teleplay by), Craig W. Sanger (teleplay by)",PG-13,2019,English,USA,"Drama, Mystery, Sci-Fi, Thriller",4 wins & 15 nominations.,"One night in New Mexico, in the late 1950s, a switchboard operator and radio DJ discover a strange audio frequency which could change the future forever.",https://m.media-amazon.com/images/M/MV5BY2YxNDczNGYtNmViNi00MDZiLWJiM2ItNGFlN2Q1NGExNGZhXkEyXkFqcGdeQXVyODE0OTU5Nzg@._V1_SX300.jpg
23,Saint Frances,Alex Thompson,"Kelly O'Sullivan, Charin Alvarez, Braden Crothers, William Drain",Kelly O'Sullivan,N/A,2019,English,USA,"Comedy, Drama",10 wins & 14 nominations.,"After an accidental pregnancy turned abortion, a deadbeat nanny finds an unlikely friendship with the six-year old she's charged with protecting.",https://m.media-amazon.com/images/M/MV5BMWFkODE5NjctZjc1Ni00OTIwLWFjYjAtZTU2MDFkZDI1NmMxXkEyXkFqcGdeQXVyMjQ0NzcxNjM@._V1_SX300.jpg
24,The Forty-Year-Old Version,Radha Blank,"Radha Blank, Peter Kim, Oswin Benjamin, Imani Lewis",Radha Blank,R,2020,English,USA,"Comedy, Drama",2 wins & 4 nominations.,"Radha is a down-on-her-luck NY playwright, who is desperate for a breakthrough before 40. Reinventing herself as rapper RadhaMUSPrime, she vacillates between the worlds of Hip Hop and theater in order to find her true voice.",https://m.media-amazon.com/images/M/MV5BMWQwNWFmYWEtZjU1NC00Mjk3LTgzZGQtNTJhODU5OTkxYzhhXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_SX300.jpg
